V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
6.264140000,5.978000000,5.552120000,4.949280000,4.120030000,3.062940000,1.841980000,0.546560000,-0.727950000,-1.855180000,-2.686040000,-3.127500000,-3.215970000,-3.103340000,-2.966620000,-2.919290000,-2.984730000,-3.123850000,-3.276820000,-3.397130000,-3.468350000,-3.500960000,-3.521830000,-3.562280000,-3.641620000,-3.758700000,-3.902520000,-4.063110000,-4.227690000,-4.374230000,-4.474480000,-4.509440000,-4.486570000,-4.438680000,-4.400960000,-4.389470000,-4.397570000,-4.399940000,-4.357790000,-4.232920000,-4.002000000,-3.656820000,-3.201030000,-2.651550000,-2.035550000,-1.379590000,-0.696390000,0.023220000,0.802770000,1.654510000,2.552410000,3.426940000,4.189760000,4.778480000,5.189110000,5.453340000,5.559420000,5.387940000,4.757320000,3.585790000,2.045250000,0.552870000,-0.432970000,-0.677720000,-0.307290000,0.283690000,0.686830000,0.713260000,0.451320000,0.136960000,-0.046190000,-0.091390000,-0.140040000,-0.335980000,-0.690850000,-1.073430000,-1.317280000,-1.343890000,-1.208140000,-1.043090000,-0.955150000,-0.957080000,-0.982940000,-0.949170000,-0.794250000,-0.472730000,0.063300000,0.860470000,1.941200000,3.276000000,4.763500000,6.238340000,7.521080000,8.491430000,9.141510000,9.569040000,9.901180000,10.201010000,10.431960000,10.492980000,10.667286670
0.258220000,-1.664930000,-3.379030000,-4.490310000,-4.894470000,-4.820430000,-4.646010000,-4.652540000,-4.895950000,-5.249860000,-5.529770000,-5.572400000,-5.262440000,-4.572540000,-3.605480000,-2.579290000,-1.752920000,-1.326260000,-1.348230000,-1.685850000,-2.093140000,-2.341420000,-2.324220000,-2.078100000,-1.720230000,-1.359520000,-1.049170000,-0.796010000,-0.588590000,-0.413190000,-0.258500000,-0.116640000,0.021670000,0.177290000,0.385350000,0.682030000,1.087460000,1.598700000,2.193710000,2.840560000,3.507990000,4.173450000,4.823030000,5.442600000,6.007690000,6.482450000,6.829550000,7.018650000,7.020700000,6.790010000,6.254110000,5.333950000,3.992020000,2.272460000,0.302320000,-1.748020000,-3.730720000,-5.581730000,-7.324270000,-8.992240000,-10.538440000,-11.827220000,-12.725590000,-13.191550000,-13.265300000,-12.989540000,-12.358470000,-11.346740000,-9.981130000,-8.381930000,-6.738340000,-5.244670000,-4.048210000,-3.226110000,-2.773660000,-2.603950000,-2.579650000,-2.569470000,-2.491160000,-2.317570000,-2.056650000,-1.727910000,-1.348980000,-0.934600000,-0.504870000,-0.093270000,0.256530000,0.507470000,0.650510000,0.716560000,0.771000000,0.892830000,1.144480000,1.538980000,2.018660000,2.461550000,2.712480000,2.616930000,2.049280000,0.956170000,0.213366667
4.308850000,3.806650000,3.310780000,2.831780000,2.309500000,1.632440000,0.708030000,-0.459420000,-1.740100000,-2.922630000,-3.805100000,-4.281470000,-4.376730000,-4.217150000,-3.967820000,-3.781680000,-3.767840000,-3.965660000,-4.329570000,-4.743520000,-5.070300000,-5.214470000,-5.162830000,-4.976650000,-4.742290000,-4.520110000,-4.326370000,-4.147490000,-3.963490000,-3.761860000,-3.540180000,-3.304180000,-3.063260000,-2.823470000,-2.582120000,-2.328100000,-2.046740000,-1.724270000,-1.349330000,-0.912200000,-0.403690000,0.184210000,0.853720000,1.594230000,2.377180000,3.156830000,3.876180000,4.474900000,4.897310000,5.098700000,5.049230000,4.738610000,4.181990000,3.423860000,2.543510000,1.665540000,0.957270000,0.582250000,0.610790000,0.953730000,1.397860000,1.738710000,1.906040000,1.982820000,2.122740000,2.444490000,2.975000000,3.654140000,4.368990000,4.988130000,5.388900000,5.479180000,5.214510000,4.608780000,3.733300000,2.701270000,1.642380000,0.678170000,-0.095580000,-0.619520000,-0.873500000,-0.872530000,-0.657880000,-0.282420000,0.207830000,0.783870000,1.424750000,2.097630000,2.749810000,3.324310000,3.786690000,4.140610000,4.418970000,4.655710000,4.857640000,4.997300000,5.029230000,4.913840000,4.634320000,4.204320000,3.874640000
0.645240000,-2.340130000,-4.905310000,-6.613380000,-7.416640000,-7.509480000,-7.160220000,-6.640690000,-6.180360000,-5.905850000,-5.823400000,-5.864550000,-5.940360000,-5.978550000,-5.945040000,-5.843760000,-5.693240000,-5.506370000,-5.298970000,-5.103440000,-4.948070000,-4.822320000,-4.682770000,-4.492870000,-4.247370000,-3.968520000,-3.692440000,-3.452250000,-3.258930000,-3.107170000,-2.997090000,-2.927370000,-2.879160000,-2.821750000,-2.729180000,-2.589130000,-2.398810000,-2.164600000,-1.904750000,-1.647190000,-1.420250000,-1.231880000,-1.056640000,-0.854100000,-0.590370000,-0.240950000,0.209120000,0.754370000,1.356650000,1.956980000,2.506230000,2.977560000,3.354940000,3.610670000,3.674010000,3.428760000,2.788250000,1.798580000,0.649640000,-0.460370000,-1.516650000,-2.728400000,-4.285570000,-6.039000000,-7.495970000,-8.160120000,-7.877450000,-6.909530000,-5.723990000,-4.717560000,-4.082440000,-3.848610000,-3.977540000,-4.383130000,-4.888230000,-5.252100000,-5.310620000,-5.074060000,-4.687570000,-4.327000000,-4.104730000,-4.018200000,-3.980970000,-3.907100000,-3.753730000,-3.499450000,-3.117540000,-2.586400000,-1.914970000,-1.150270000,-0.354980000,0.440310000,1.259310000,2.140630000,3.065930000,3.910540000,4.462280000,4.521060000,4.020060000,3.051740000,2.394966667
4.606980000,2.527190000,0.421590000,-1.529040000,-3.202490000,-4.514000000,-5.440840000,-6.067430000,-6.545200000,-6.989870000,-7.425900000,-7.803620000,-8.051680000,-8.134390000,-8.079460000,-7.958810000,-7.842500000,-7.763550000,-7.716650000,-7.673800000,-7.597980000,-7.461910000,-7.266680000,-7.042730000,-6.830430000,-6.657180000,-6.526460000,-6.420470000,-6.317610000,-6.209740000,-6.097470000,-5.974870000,-5.825810000,-5.633190000,-5.387480000,-5.088290000,-4.739190000,-4.343750000,-3.908550000,-3.443210000,-2.953720000,-2.437090000,-1.887180000,-1.303810000,-0.695230000,-0.072920000,0.556140000,1.185260000,1.787670000,2.299800000,2.628780000,2.680910000,2.395810000,1.775130000,0.886030000,-0.170230000,-1.295560000,-2.398940000,-3.376370000,-4.115270000,-4.538550000,-4.645170000,-4.501370000,-4.211140000,-3.910250000,-3.729480000,-3.699870000,-3.720100000,-3.647800000,-3.393980000,-2.931550000,-2.268600000,-1.447750000,-0.573720000,0.168580000,0.553240000,0.434770000,-0.132080000,-0.919980000,-1.677540000,-2.241050000,-2.547650000,-2.595560000,-2.414530000,-2.049410000,-1.530640000,-0.850930000,0.025010000,1.128290000,2.457210000,3.967400000,5.576270000,7.169700000,8.603040000,9.705430000,10.321240000,10.389840000,9.993930000,9.313470000,8.507760000,7.785550000
7.422590000,7.692455254,8.228901864,8.642636271,8.389932373,7.148806271,5.052271356,2.611560678,0.437033220,-1.049891186,-1.760413390,-1.884379492,-1.714863729,-1.488618136,-1.322148983,-1.231212203,-1.183421695,-1.144754746,-1.100913559,-1.052257288,-0.998917288,-0.933696271,-0.843715763,-0.715990678,-0.544455424,-0.335182034,-0.102545424,0.142082542,0.394430678,0.653232373,0.917880508,1.188300678,1.461510508,1.730604576,1.992481864,2.254781525,2.531603051,2.834373559,3.168360000,3.532795763,3.922367458,4.332426949,4.765221695,5.234431356,5.761987797,6.359018814,7.001032542,7.620010339,8.116970508,8.381615763,8.309879661,7.813858475,6.823061525,5.298705763,3.291643051,1.020752712,-1.116250339,-2.684193220,-3.464134746,-3.599260000,-3.449000000,-3.278969000,-3.124319000,-2.965398000,-2.802306000,-2.633430000,-2.421743000,-2.101270000,-1.614840000,-0.954924000,-0.183555000,0.582828000,1.219634000,1.646996000,1.860071000,1.922582500,1.930850000,1.972233000,2.103332000,2.350774500,2.718700000,3.192864000,3.722621000,4.254897000,4.746682000,5.173265000,5.527964000,5.825961000,6.109120000,6.436459500,6.854575000,7.363149500,7.901434000,8.368335000,8.664314000,8.730490000,8.566874000,8.228133000,7.808039000,7.424414500,7.206570000
0.710810000,-0.050410000,-0.583850000,-1.001010000,-1.547490000,-2.434570000,-3.708240000,-5.212620000,-6.652940000,-7.731080000,-8.279390000,-8.312340000,-7.979350000,-7.470200000,-6.935920000,-6.456440000,-6.048810000,-5.693510000,-5.359860000,-5.022930000,-4.671670000,-4.310390000,-3.956270000,-3.634490000,-3.370460000,-3.179250000,-3.057930000,-2.985250000,-2.928890000,-2.857870000,-2.752670000,-2.605740000,-2.414890000,-2.179230000,-1.899710000,-1.579530000,-1.223300000,-0.838510000,-0.438490000,-0.041960000,0.331680000,0.667060000,0.955560000,1.196480000,1.395800000,1.559740000,1.682750000,1.736310000,1.667180000,1.409270000,0.903330000,0.114170000,-0.962640000,-2.305840000,-3.879790000,-5.630620000,-7.451600000,-9.153320000,-10.501470000,-11.323950000,-11.606530000,-11.494980000,-11.198130000,-10.866610000,-10.538510000,-10.172880000,-9.714960000,-9.134360000,-8.428110000,-7.616290000,-6.747850000,-5.904220000,-5.180900000,-4.650670000,-4.333570000,-4.195020000,-4.168230000,-4.178800000,-4.158570000,-4.051820000,-3.816090000,-3.418330000,-2.833350000,-2.051960000,-1.094870000,-0.020710000,1.079900000,2.105450000,2.972260000,3.633570000,4.080050000,4.333400000,4.443860000,4.482430000,4.514340000,4.559620000,4.566310000,4.423400000,4.022120000,3.342570000,2.507300000
4.132690000,3.748410000,3.319400000,2.821360000,2.089480000,0.939740000,-0.649430000,-2.473640000,-4.208910000,-5.588180000,-6.507260000,-7.013810000,-7.232100000,-7.288120000,-7.268130000,-7.214160000,-7.140390000,-7.050790000,-6.947780000,-6.833700000,-6.711380000,-6.584290000,-6.453890000,-6.317280000,-6.169330000,-6.007600000,-5.836470000,-5.667820000,-5.517880000,-5.401270000,-5.324080000,-5.278860000,-5.244900000,-5.193290000,-5.094040000,-4.923160000,-4.666270000,-4.317200000,-3.875430000,-3.346560000,-2.744870000,-2.093440000,-1.421270000,-0.758940000,-0.134330000,0.429420000,0.913470000,1.303290000,1.592380000,1.790780000,1.936690000,2.105180000,2.394640000,2.865780000,3.447740000,3.896890000,3.912230000,3.387640000,2.587180000,2.023910000,2.096280000,2.792070000,3.712550000,4.372320000,4.510610000,4.190970000,3.673770000,3.209380000,2.906780000,2.734340000,2.608840000,2.480120000,2.350660000,2.248170000,2.198120000,2.211620000,2.282440000,2.389220000,2.501760000,2.589840000,2.635380000,2.643990000,2.646140000,2.684490000,2.792360000,2.974550000,3.204400000,3.442950000,3.666780000,3.880800000,4.107870000,4.370480000,4.680680000,5.037400000,5.420420000,5.780090000,6.037590000,6.105210000,5.917710000,5.463490000,4.808850000
12.253240000,10.946863730,9.984120169,9.492015424,9.258960678,8.840072203,7.850684237,6.206653729,4.131711356,1.993559831,0.126020847,-1.273423559,-2.159305424,-2.598337627,-2.713548305,-2.634800508,-2.464109661,-2.260949661,-2.048979492,-1.835271695,-1.627606102,-1.440489492,-1.289543898,-1.180679153,-1.102427119,-1.028215932,-0.929930000,-0.794777458,-0.632505424,-0.466664407,-0.315638305,-0.176242712,-0.021574068,0.184757458,0.469788305,0.843481864,1.304054746,1.844946949,2.456187627,3.122104237,3.818981186,4.515099492,5.173840000,5.758471864,6.236509153,6.582571525,6.780004576,6.820341864,6.698722712,6.408030508,5.937251356,5.273860508,4.407796949,3.342246102,2.122355254,0.875504068,-0.187144576,-0.865443220,-1.122620339,-1.140040000,-1.178790000,-1.357722500,-1.544078500,-1.507209750,-1.115076000,-0.410312500,0.452392000,1.317859750,2.101106000,2.789577750,3.404880000,3.967240000,4.482371000,4.940194000,5.318801500,5.601576250,5.802070000,5.972394250,6.183350500,6.492036500,6.921585000,7.464869500,8.103967000,8.826055750,9.624418000,10.487663750,11.385889500,12.263473750,13.048308000,13.680354500,14.146690000,14.495021500,14.805076000,15.132223750,15.465106500,15.725975000,15.800308000,15.563691750,14.903544000,13.769786250,12.266400000
-4.185540000,-4.240970508,-4.515228136,-4.913194237,-5.299632881,-5.524912203,-5.469029831,-5.099575593,-4.494126610,-3.806845254,-3.204803390,-2.807530169,-2.649364915,-2.675109322,-2.771815593,-2.822635593,-2.754273729,-2.556326610,-2.269936610,-1.956516610,-1.664101695,-1.406793559,-1.168711525,-0.930165763,-0.680652542,-0.424134915,-0.176928136,0.042722373,0.230065763,0.403751864,0.601844746,0.866191864,1.225622034,1.687668644,2.241261864,2.865777627,3.539237966,4.240497966,4.945540000,5.623622203,6.235825593,6.748531695,7.136103559,7.371242542,7.420449492,7.243237966,6.796870508,6.047508475,4.986864915,3.645934746,2.093875932,0.417802712,-1.307889492,-3.046200678,-4.799664746,-6.580198305,-8.354694068,-10.002477800,-11.331584580,-12.162150000,-12.407310000,-12.067429000,-11.345590500,-10.419526500,-9.355600000,-8.134791250,-6.728563000,-5.172540000,-3.596228000,-2.191455250,-1.132482500,-0.490764000,-0.200858000,-0.105230750,-0.043916000,0.073378750,0.267816000,0.552972750,0.953758500,1.481263250,2.097265000,2.706752000,3.194432500,3.485140500,3.584446000,3.572240000,3.559928000,3.645922250,3.870771000,4.166944000,4.371772500,4.258124000,3.607198000,2.308194250,0.469410000,-1.531913750,-3.170336000,-4.056015000,-4.171498500,-3.848017750,-3.514050000
