V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
-0.011010000,-0.016940816,-0.022971020,-0.028706735,-0.033727551,-0.037543878,-0.039770816,-0.040204286,-0.038936531,-0.036302857,-0.032768163,-0.028773061,-0.024655510,-0.020572041,-0.016547143,-0.012503265,-0.008305714,-0.003816735,0.001100816,0.006515306,0.012423469,0.018770000,0.025440204,0.032254898,0.039008367,0.045457347,0.051352449,0.056482245,0.060724286,0.064097755,0.066773265,0.069066531,0.071348980,0.073978571,0.077243061,0.081290000,0.086156122,0.091761429,0.097911633,0.104391837,0.110989796,0.117560204,0.124027143,0.130441020,0.136930000,0.143659592,0.150799592,0.158462245,0.166665510,0.175380000,0.184477347,0.193852449,0.203424694,0.213185918,0.223165510,0.233469592,0.244201429,0.255442653,0.267256939,0.279693673,0.292744490,0.306392245,0.320552041,0.335078571,0.349724490,0.364182041,0.378178163,0.391544286,0.404205306,0.416148163,0.427364286,0.437850408,0.447627755,0.456712653,0.465100408,0.472737959,0.479479796,0.485095714,0.489283673,0.491691837,0.491946735,0.489653265,0.484361020,0.475592449,0.462827143,0.445590000,0.423525918,0.396518163,0.364786939,0.328893061,0.289741020,0.248555714,0.206726531,0.165727755,0.126990000,0.091747551,0.060932041,0.035181020,0.014850000,-0.028660875,-0.060903054
0.001000000,-0.002853061,-0.008548980,-0.015260612,-0.021636122,-0.026195306,-0.027990816,-0.026812857,-0.023236122,-0.018362653,-0.013511633,-0.009785714,-0.007793061,-0.007576122,-0.008772857,-0.010880000,-0.013487755,-0.016418163,-0.019633265,-0.023093265,-0.026617755,-0.029872857,-0.032401020,-0.033770408,-0.033723061,-0.032258776,-0.029658776,-0.026414082,-0.023115714,-0.020325918,-0.018485102,-0.017823469,-0.018363878,-0.019922449,-0.022206122,-0.024857143,-0.027566939,-0.030044490,-0.032031429,-0.033243878,-0.033458163,-0.032531224,-0.030507143,-0.027602449,-0.024133061,-0.020409592,-0.016627143,-0.012841429,-0.009026327,-0.005100000,-0.000973265,0.003370000,0.007871224,0.012379388,0.016708980,0.020637551,0.024037143,0.026866939,0.029228367,0.031305918,0.033316939,0.035525102,0.038166531,0.041488571,0.045667143,0.050863878,0.057160408,0.064591429,0.073137551,0.082741633,0.093305714,0.104663265,0.116581020,0.128757755,0.140859796,0.152542245,0.163487551,0.173427143,0.182158367,0.189535918,0.195445102,0.199773265,0.202376735,0.203047755,0.201545714,0.197641224,0.191217143,0.182307755,0.171130612,0.157934694,0.142964082,0.126471429,0.108764082,0.090322041,0.071810816,0.054079796,0.037922449,0.024016327,0.012820000,-0.007799504,-0.024025649
-0.021130000,-0.040548571,-0.063542857,-0.088081837,-0.111906735,-0.132962857,-0.149819592,-0.161808571,-0.168966531,-0.171897551,-0.171607755,-0.169333265,-0.166344286,-0.163752449,-0.162301429,-0.162194286,-0.163065306,-0.164109796,-0.164311837,-0.162733265,-0.158774082,-0.152255714,-0.143414490,-0.132753469,-0.120897959,-0.108448980,-0.095931837,-0.083757551,-0.072214286,-0.061481020,-0.051654490,-0.042739388,-0.034673673,-0.027315714,-0.020471224,-0.013895714,-0.007367959,-0.000716531,0.006155714,0.013211633,0.020287143,0.027149388,0.033554286,0.039292857,0.044253265,0.048441020,0.052008776,0.055174286,0.058228980,0.061450000,0.065103878,0.069322653,0.074175102,0.079631837,0.085563469,0.091817755,0.098217143,0.104607347,0.110875714,0.116992041,0.122997755,0.129014490,0.135188163,0.141685714,0.148647959,0.156160612,0.164266531,0.172947347,0.182130612,0.191714286,0.201590000,0.211643878,0.221775714,0.231889184,0.241863673,0.251545306,0.260757959,0.269271429,0.276836939,0.283192041,0.288048163,0.291101633,0.292004286,0.290391633,0.285881429,0.278110408,0.266811429,0.251859592,0.233368980,0.211748571,0.187660000,0.161985714,0.135675306,0.109665918,0.084836327,0.061953469,0.041665306,0.024461633,0.010680000,-0.017089650,-0.038109847
-0.024180000,-0.035243673,-0.046377143,-0.056147755,-0.063137551,-0.066150816,-0.064495714,-0.058131429,-0.047734694,-0.034545510,-0.020074082,-0.005897551,0.006628980,0.016553061,0.023380000,0.027100408,0.028103673,0.027004490,0.024477551,0.021090816,0.017229592,0.013080000,0.008722449,0.004235918,-0.000231020,-0.004414694,-0.007980816,-0.010612653,-0.012102857,-0.012385714,-0.011583673,-0.009946939,-0.007816735,-0.005554898,-0.003476939,-0.001830000,-0.000756122,-0.000323673,-0.000531429,-0.001294490,-0.002523061,-0.004065306,-0.005768571,-0.007493061,-0.009127755,-0.010603265,-0.011912245,-0.013102653,-0.014266735,-0.015550000,-0.017130204,-0.019163673,-0.021791020,-0.025017143,-0.028766122,-0.032835918,-0.036940000,-0.040798367,-0.044172449,-0.046876531,-0.048845306,-0.050064082,-0.050580612,-0.050450000,-0.049697959,-0.048318776,-0.046245714,-0.043358367,-0.039521633,-0.034591020,-0.028454286,-0.021046122,-0.012351020,-0.002430204,0.008600408,0.020586939,0.033321020,0.046558571,0.060043673,0.073553878,0.086891837,0.099862449,0.112274694,0.123882041,0.134387143,0.143416122,0.150520408,0.155202041,0.156967551,0.155353265,0.150011633,0.140787143,0.127773673,0.111414490,0.092465510,0.072051224,0.051482857,0.032145714,0.015290000,-0.004906822,-0.024084366
-0.011870000,-0.014071633,-0.014571633,-0.012985102,-0.009253265,-0.003658367,0.003228980,0.010601429,0.017596122,0.023516939,0.028053673,0.031211633,0.033235714,0.034438980,0.035098571,0.035406735,0.035460612,0.035313265,0.035025102,0.034670408,0.034343878,0.034164286,0.034233265,0.034613469,0.035296735,0.036184490,0.037096327,0.037808571,0.038111429,0.037883673,0.037142857,0.036037143,0.034816327,0.033746735,0.033041429,0.032791429,0.032965714,0.033455306,0.034117347,0.034811224,0.035464286,0.036048571,0.036620000,0.037279184,0.038177143,0.039500612,0.041403061,0.044023469,0.047421429,0.051620000,0.056572041,0.062196939,0.068399184,0.075083265,0.082151633,0.089485102,0.096950000,0.104438571,0.111846939,0.119148980,0.126384898,0.133596327,0.140857551,0.148234286,0.155775102,0.163530612,0.171525510,0.179798980,0.188376939,0.197242245,0.206371429,0.215726531,0.225266327,0.234952449,0.244738163,0.254543878,0.264257143,0.273722857,0.282712041,0.290924286,0.297990612,0.303475102,0.306881020,0.307646735,0.305167143,0.298848776,0.288183469,0.272841020,0.252784286,0.228341429,0.200235918,0.169548571,0.137653673,0.106143878,0.076624490,0.050538367,0.028914286,0.012239592,0.000420000,-0.033526501,-0.056641494
-0.032030000,-0.043390000,-0.052770000,-0.058100000,-0.057520000,-0.049830000,-0.035010000,-0.014480000,0.009060000,0.032230000,0.051730000,0.065040000,0.070800000,0.069020000,0.060870000,0.048270000,0.033460000,0.018590000,0.005380000,-0.005020000,-0.012120000,-0.016020000,-0.017240000,-0.016510000,-0.014580000,-0.012050000,-0.009370000,-0.006790000,-0.004480000,-0.002550000,-0.001130000,-0.000290000,-0.000040000,-0.000260000,-0.000690000,-0.000990000,-0.000770000,0.000210000,0.002090000,0.004760000,0.008010000,0.011530000,0.015000000,0.018200000,0.021010000,0.023380000,0.025360000,0.027030000,0.028540000,0.030020000,0.031610000,0.033440000,0.035520000,0.037840000,0.040320000,0.042830000,0.045250000,0.047490000,0.049500000,0.051320000,0.053030000,0.054760000,0.056670000,0.058900000,0.061560000,0.064760000,0.068570000,0.073080000,0.078360000,0.084440000,0.091310000,0.098910000,0.107120000,0.115770000,0.124700000,0.133750000,0.142780000,0.151680000,0.160380000,0.168850000,0.177060000,0.184970000,0.192460000,0.199250000,0.204890000,0.208750000,0.210110000,0.208220000,0.202450000,0.192350000,0.177840000,0.159310000,0.137610000,0.113970000,0.089770000,0.066430000,0.045270000,0.027300000,0.013150000,0.002940000,-0.003580000
-0.079560000,-0.106020000,-0.130740000,-0.151050000,-0.164940000,-0.171280000,-0.169890000,-0.161590000,-0.147990000,-0.131220000,-0.113570000,-0.097150000,-0.083610000,-0.073960000,-0.068550000,-0.067050000,-0.068670000,-0.072270000,-0.076650000,-0.080660000,-0.083370000,-0.084100000,-0.082450000,-0.078310000,-0.071770000,-0.063090000,-0.052600000,-0.040670000,-0.027610000,-0.013700000,0.000830000,0.015790000,0.030970000,0.046140000,0.061030000,0.075360000,0.088870000,0.101360000,0.112670000,0.122740000,0.131540000,0.139100000,0.145480000,0.150810000,0.155290000,0.159150000,0.162730000,0.166370000,0.170440000,0.175260000,0.181070000,0.188000000,0.196090000,0.205280000,0.215460000,0.226510000,0.238320000,0.250870000,0.264160000,0.278300000,0.293410000,0.309610000,0.327000000,0.345590000,0.365330000,0.386030000,0.407450000,0.429260000,0.451150000,0.472770000,0.493850000,0.514140000,0.533440000,0.551600000,0.568460000,0.583890000,0.597670000,0.609540000,0.619130000,0.625950000,0.629410000,0.628800000,0.623350000,0.612260000,0.594810000,0.570430000,0.538890000,0.500360000,0.455560000,0.405730000,0.352630000,0.298300000,0.244850000,0.194240000,0.148060000,0.107400000,0.072830000,0.044460000,0.022040000,0.005080000,-0.007060000
-0.023480000,-0.030940000,-0.038060000,-0.044330000,-0.049430000,-0.053230000,-0.055910000,-0.057950000,-0.060010000,-0.062850000,-0.067090000,-0.073100000,-0.080950000,-0.090440000,-0.101090000,-0.112320000,-0.123460000,-0.133890000,-0.143050000,-0.150560000,-0.156150000,-0.159730000,-0.161360000,-0.161190000,-0.159490000,-0.156520000,-0.152560000,-0.147870000,-0.142670000,-0.137140000,-0.131400000,-0.125570000,-0.119730000,-0.113950000,-0.108300000,-0.102840000,-0.097670000,-0.092860000,-0.088480000,-0.084600000,-0.081250000,-0.078440000,-0.076150000,-0.074350000,-0.072990000,-0.072010000,-0.071380000,-0.071060000,-0.071030000,-0.071280000,-0.071780000,-0.072500000,-0.073360000,-0.074310000,-0.075230000,-0.076050000,-0.076650000,-0.076930000,-0.076770000,-0.076050000,-0.074620000,-0.072300000,-0.068890000,-0.064160000,-0.057890000,-0.049880000,-0.039970000,-0.028080000,-0.014220000,0.001530000,0.018990000,0.037930000,0.058050000,0.079030000,0.100520000,0.122160000,0.143650000,0.164700000,0.185070000,0.204590000,0.223070000,0.240360000,0.256270000,0.270600000,0.283090000,0.293440000,0.301270000,0.306100000,0.307370000,0.304530000,0.297060000,0.284580000,0.266970000,0.244420000,0.217510000,0.187240000,0.154920000,0.122140000,0.090550000,0.061710000,0.036880000
-0.069060000,-0.092050000,-0.113820000,-0.132320000,-0.146090000,-0.154420000,-0.157500000,-0.156370000,-0.152790000,-0.148890000,-0.146750000,-0.147960000,-0.153320000,-0.162680000,-0.175060000,-0.188910000,-0.202460000,-0.213990000,-0.222120000,-0.225940000,-0.225080000,-0.219630000,-0.210120000,-0.197320000,-0.182140000,-0.165480000,-0.148150000,-0.130810000,-0.113970000,-0.097930000,-0.082910000,-0.068970000,-0.056130000,-0.044360000,-0.033630000,-0.023890000,-0.015120000,-0.007280000,-0.000320000,0.005820000,0.011180000,0.015790000,0.019680000,0.022880000,0.025410000,0.027320000,0.028710000,0.029690000,0.030430000,0.031130000,0.032040000,0.033410000,0.035490000,0.038510000,0.042650000,0.048090000,0.054950000,0.063290000,0.073140000,0.084490000,0.097250000,0.111300000,0.126470000,0.142570000,0.159390000,0.176770000,0.194590000,0.212750000,0.231220000,0.249980000,0.268980000,0.288140000,0.307300000,0.326200000,0.344510000,0.361860000,0.377840000,0.392040000,0.404130000,0.413820000,0.420940000,0.425360000,0.427020000,0.425880000,0.421940000,0.415150000,0.405460000,0.392780000,0.377010000,0.358000000,0.335640000,0.309850000,0.280740000,0.248590000,0.213950000,0.177690000,0.141010000,0.105390000,0.072330000,0.043150000,0.018820000
-0.005550000,-0.008700000,-0.012110000,-0.015650000,-0.019180000,-0.022550000,-0.025650000,-0.028390000,-0.030790000,-0.032910000,-0.034870000,-0.036770000,-0.038750000,-0.040850000,-0.043100000,-0.045390000,-0.047550000,-0.049380000,-0.050640000,-0.051180000,-0.050880000,-0.049730000,-0.047820000,-0.045290000,-0.042350000,-0.039210000,-0.036050000,-0.033050000,-0.030320000,-0.027910000,-0.025830000,-0.024030000,-0.022490000,-0.021150000,-0.020000000,-0.019030000,-0.018260000,-0.017690000,-0.017340000,-0.017230000,-0.017330000,-0.017590000,-0.017940000,-0.018270000,-0.018470000,-0.018450000,-0.018130000,-0.017480000,-0.016510000,-0.015220000,-0.013650000,-0.011800000,-0.009660000,-0.007170000,-0.004260000,-0.000820000,0.003250000,0.008060000,0.013660000,0.020090000,0.027330000,0.035370000,0.044160000,0.053660000,0.063830000,0.074670000,0.086190000,0.098460000,0.111570000,0.125580000,0.140540000,0.156410000,0.173090000,0.190390000,0.208110000,0.226000000,0.243830000,0.261380000,0.278420000,0.294730000,0.310080000,0.324160000,0.336580000,0.346890000,0.354490000,0.358720000,0.358860000,0.354200000,0.344090000,0.328110000,0.306180000,0.278660000,0.246410000,0.210800000,0.173490000,0.136370000,0.101230000,0.069640000,0.042740000,0.021150000,0.004950000
